COL 1:1.1 Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
COL 1:1.2 ἀπόστολος N-NSM 652 ἀπόστολος ! ἀπόστολος
COL 1:1.3 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
COL 1:1.4 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
COL 1:1.5 διὰ PREP 1223 διά ! διά
COL 1:1.6 θελήματος N-GSN 2307 θέλημα ! θέλημα
COL 1:1.7 θεοῦ N-GSM 2316 θεός ! θεός
COL 1:1.8 καὶ CONJ 2532 καί ! καί
COL 1:1.9 Τιμόθεος N-NSM 5095 Τιμόθεος ! Τιμόθεος
COL 1:1.10 ὁ T-NSM 3588 ὁ ! ὁ
COL 1:1.11 ἀδελφὸς N-NSM 80 ἀδελφός ! ἀδελφός
COL 1:2.1 τοῖς T-DPM 3588 ὁ ! ὁ
COL 1:2.2 ἐν PREP 1722 ἐν ! ἐν
COL 1:2.3 Κολοσσαῖς N-DPF 2857 Κολοσσαί ! Κολοσσαί
COL 1:2.4 ἁγίοις A-DPM 40 ἅγιος ! ἅγιος
COL 1:2.5 καὶ CONJ 2532 καί ! καί
COL 1:2.6 πιστοῖς A-DPM 4103 πιστός ! πιστός
COL 1:2.7 ἀδελφοῖς N-DPM 80 ἀδελφός ! ἀδελφός
COL 1:2.8 ἐν PREP 1722 ἐν ! ἐν
COL 1:2.9 Χριστῷ· N-DSM 5547 Χριστός ! Χριστός
COL 1:2.10 χάρις N-NSF 5485 χάρις ! χάρις
COL 1:2.11 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
COL 1:2.12 καὶ CONJ 2532 καί ! καί
COL 1:2.13 εἰρήνη N-NSF 1515 εἰρήνη ! εἰρήνη
COL 1:2.14 ἀπὸ PREP 575 ἀπό ! ἀπό
COL 1:2.15 θεοῦ N-GSM 2316 θεός ! θεός
COL 1:2.16 πατρὸς N-GSM 3962 πατήρ ! πατήρ
COL 1:2.17 ἡμῶν. P-1GP 2248 ἡμᾶς ! ἐγώ
COL 1:3.1 Εὐχαριστοῦμεν V-PAI-1P 2168 εὐχαριστέω ! εὐχαριστέω
COL 1:3.2 τῷ T-DSM 3588 ὁ ! ὁ
COL 1:3.3 θεῷ N-DSM 2316 θεός ! θεός
COL 1:3.4 καὶ CONJ 2532 καί ! καί
COL 1:3.5 πατρὶ N-DSM 3962 πατήρ ! πατήρ
COL 1:3.6 τοῦ T-GSM 3588 ὁ ! ὁ
COL 1:3.7 κυρίου N-GSM 2962 κύριος ! κύριος
COL 1:3.8 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
COL 1:3.9 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
COL 1:3.10 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
COL 1:3.11 πάντοτε ADV 3842 πάντοτε ! πάντοτε
COL 1:3.12 περὶ PREP 4012 περί ! περί
COL 1:3.13 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
COL 1:3.14 προσευχόμενοι, V-PNP-NPM 4336 προσεύχομαι ! προσεύχομαι
COL 1:4.1 ἀκούσαντες V-AAP-NPM 191 ἀκούω ! ἀκούω
COL 1:4.2 τὴν T-ASF 3588 ὁ ! ὁ
COL 1:4.3 πίστιν N-ASF 4102 πίστις ! πίστις
COL 1:4.4 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
COL 1:4.5 ἐν PREP 1722 ἐν ! ἐν
COL 1:4.6 Χριστῷ N-DSM 5547 Χριστός ! Χριστός
COL 1:4.7 Ἰησοῦ N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
COL 1:4.8 καὶ CONJ 2532 καί ! καί
COL 1:4.9 τὴν T-ASF 3588 ὁ ! ὁ
COL 1:4.10 ἀγάπην N-ASF 26 ἀγάπη ! ἀγάπη
COL 1:4.11 ἣν R-ASF 3739 ὅς ! ὅς
COL 1:4.12 ἔχετε V-PAI-2P 2192 ἔχω ! ἔχω
COL 1:4.13 εἰς PREP 1519 εἰς ! εἰς
COL 1:4.14 πάντας A-APM 3956 πᾶς ! πᾶς
COL 1:4.15 τοὺς T-APM 3588 ὁ ! ὁ
COL 1:4.16 ἁγίους A-APM 40 ἅγιος ! ἅγιος
COL 1:5.1 διὰ PREP 1223 διά ! διά
COL 1:5.2 τὴν T-ASF 3588 ὁ ! ὁ
COL 1:5.3 ἐλπίδα N-ASF 1680 ἐλπίς ! ἐλπίς
COL 1:5.4 τὴν T-ASF 3588 ὁ ! ὁ
COL 1:5.5 ἀποκειμένην V-PNP-ASF 606 ἀπόκειμαι ! ἀπόκειμαι
COL 1:5.6 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
COL 1:5.7 ἐν PREP 1722 ἐν ! ἐν
COL 1:5.8 τοῖς T-DPM 3588 ὁ ! ὁ
COL 1:5.9 οὐρανοῖς, N-DPM 3772 οὐρανός ! οὐρανός
COL 1:5.10 ἣν R-ASF 3739 ὅς ! ὅς
COL 1:5.11 προηκούσατε V-AAI-2P 4257 προακούω ! προακούω
COL 1:5.12 ἐν PREP 1722 ἐν ! ἐν
COL 1:5.13 τῷ T-DSM 3588 ὁ ! ὁ
COL 1:5.14 λόγῳ N-DSM 3056 λόγος ! λόγος
COL 1:5.15 τῆς T-GSF 3588 ὁ ! ὁ
COL 1:5.16 ἀληθείας N-GSF 225 ἀλήθεια ! ἀλήθεια
COL 1:5.17 τοῦ T-GSN 3588 ὁ ! ὁ
COL 1:5.18 εὐαγγελίου N-GSN 2098 εὐαγγέλιον ! εὐαγγέλιον
COL 1:6.1 τοῦ T-GSN 3588 ὁ ! ὁ
COL 1:6.2 παρόντος V-PAP-GSN 3918 πάρειμι ! πάρειμι
COL 1:6.3 εἰς PREP 1519 εἰς ! εἰς
COL 1:6.4 ὑμᾶς, P-2AP 5210 ὑμεῖς ! σύ
COL 1:6.5 καθὼς ADV 2531 καθώς ! καθώς
COL 1:6.6 καὶ CONJ 2532 καί ! καί
COL 1:6.7 ἐν PREP 1722 ἐν ! ἐν
